id,Name,titleProject_id,class,score,username,password
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,TvuMkCzf
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,SWQXS59n
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,YrZXj4Me
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,A5AA1CNZ
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,ASr4T4qt
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,XSkGJDan
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,kKqg2ta4
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,klfpYwYR
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,6uZ3yypS
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,qd4sA6Rm
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,l2StITuB
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,MhxQDyGW
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,3Lfzn6ue
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,abux4IO1
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,cZ9E1Vb8
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,rPjId55D
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,lmWgbtJj
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,ms14EZRR
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,JfFEZ7oc
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,fZCSc1Wb
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,lLHutKWA
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,wdhj5nM8
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,aZUFNYOO
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,hJ5jophK
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,3KaTrKWK
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,UhBRWQdF
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,F2dTfVd9
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,HD5Pg5fl
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,7h0Ido9d
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,FFEfQOmV
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,c7slX0jk
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,aX3Zc97O
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,4ouea78t
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,w8rCgseC
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,NRE0ICPb
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,oLzmj3WG
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,lN8lecR9
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,ne4kkfwb
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,DVYFTO9j
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,Cz4s7WSX
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,dX14YdiN
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,E5DFOSqA
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,ZpbssJX7
249,Грушчева София Евгеньевна,480,11в,,Грушчева_СЕ,ZPYZpQYQ
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,NXvWkjV1
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,GeI40Mop
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,Xm7qJc0Q
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,nWVkyIRT
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,Q5LMrnMx
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,1LafT7sF
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,lQWtdcnM
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,KZH7S0CC
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,OXRBoMwN
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,L5F7aKs8
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,28d331wY
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,bsiIc3jJ
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,hyzMmobD
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,0vnCphyt
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,D7oOe7aY
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,e3PQbEbn
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,mRdbdejI
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,ZL6hU2eU
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,sp1Eah4j
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,5vCQIwo7
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,9WUTeayi
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,xsiitRN7
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,WP8PQzoE
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,NNb3XCcS
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,V7qs3IcA
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,wgg9DXGV
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,5ldIzkEv
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,8QkIsNPU
278,Углова Галина Романовна,260,9г,3,Углова_ГР,Cqa5s934
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,3MgblPWH
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,JdH8uI8m
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,TKJ5wreK
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,F4AJi3HU
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,1Ez3jljg
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,ridPpcvV
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,xANMfXqv
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,0A4MzPhc
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,nBtnzACO
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,0j6VoviJ
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,EVMhnerh
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,l4rBEANb
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,9hilf34u
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,r00KbJ5t
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,3ZSXUTmf
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,SGxKdbci
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,qtPTNn8d
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,u3T2f4R2
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,7Kt9y3Fi
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,TLffuqwP
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,orf4usb9
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,Sh9ReVaz
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,Mw5Vqol9
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,1KuzE8od
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,au6b5YD2
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,WIIRYOKu
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,QJKyKSwu
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,VqNChBya
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,WqKRwX3H
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,uvRUjt33
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,Ox49DMjm
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,kDQ1qTxd
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,olvOETfq
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,rZlzmbBc
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,2W0ESsgu
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,41cBZjI2
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,NQKgt0xx
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,Fe69U8IZ
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,jJeKINWc
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,bIq4dU2x
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,CeMwkwIN
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,5nimdTGz
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,basVihkI
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,Rf2Za2ht
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,SxCgadzp
